"","TA","SEA","SEAc"
"Marsh_Dry_Post-Invasion.C_uro1",0.00611859171586382,0.00795208434913714,0.0119281265237057
"Marsh_Dry_Post-Invasion.E_eve1",0.33412562925125,0.202170955948643,0.235866115273417
"Marsh_Dry_Post-Invasion.E_glo1",0.156653650979873,0.148866926524726,0.198489235366301
"Marsh_Dry_Post-Invasion.E_suc1",0.367813404717413,0.461007908242865,0.691511862364297
"Marsh_Dry_Post-Invasion.F_chr1",0.486661713482228,0.256400248322382,0.293028855225579
"Marsh_Dry_Post-Invasion.G_hol1",0.674744820731424,0.46785798741908,0.561429584902896
"Marsh_Dry_Post-Invasion.G_hol2",0.0699315461233906,0.0703462326015205,0.0937949768020274
"Marsh_Dry_Post-Invasion.H_for2",0.078079942067609,0.0722849955155307,0.0963799940207076
"Marsh_Dry_Post-Invasion.H_let1",2.07220228991812,0.557368522292717,0.575348152044095
"Marsh_Dry_Post-Invasion.H_lit1",0.0309536222302083,0.0561436603218979,0.112287320643796
"Marsh_Dry_Post-Invasion.L_goo1",0.0769625241333012,0.0302160839589,0.0321045892063312
"Marsh_Dry_Post-Invasion.L_goo2",0.477958738370491,0.110490685697528,0.115294628553942
"Marsh_Dry_Post-Invasion.L_mar1",0.174947858347733,0.317320314245257,0.634640628490513
"Marsh_Dry_Post-Invasion.L_pun2",0.409147187614733,0.322012362952183,0.386414835542619
"Marsh_Dry_Post-Invasion.R_gry1",0.232485516457532,0.211060337859777,0.263825422324721
"Marsh_Dry_Post-Invasion.S_lac1",0.0347342063369855,0.0630008813712045,0.126001762742409
"Marsh_Dry_Pre-Invasion.A_nat1",1.90506535898834,0.57502040384562,0.598021219999445
"Marsh_Dry_Pre-Invasion.C_var1",0.0906771864435828,0.11032997975255,0.147106639670067
"Marsh_Dry_Pre-Invasion.E_eve1",0.235594601669975,0.0589069607160123,0.0615845498394674
"Marsh_Dry_Pre-Invasion.E_glo1",0.165190315960559,0.0394231028605407,0.0413942580035678
"Marsh_Dry_Pre-Invasion.F_chr1",1.56910303053967,0.406229855160887,0.414692977143406
"Marsh_Dry_Pre-Invasion.F_chr2",2.82741695477631,0.938600240269882,0.997262755286749
"Marsh_Dry_Pre-Invasion.F_con1",1.25634534410583,0.338714800663047,0.361295787373917
"Marsh_Dry_Pre-Invasion.F_con2",1.60517422344335,0.470873262616378,0.490492981892061
"Marsh_Dry_Pre-Invasion.G_hol1",0.304191292620162,0.0934200371204904,0.0978686103167042
"Marsh_Dry_Pre-Invasion.G_hol2",1.13881029849005,0.228943237172944,0.238897290963072
"Marsh_Dry_Pre-Invasion.H_for1",0.114338885672185,0.0486038236091249,0.0507170333312608
"Marsh_Dry_Pre-Invasion.H_for2",0.210146041437062,0.0705485808648429,0.0739080370965021
"Marsh_Dry_Pre-Invasion.J_flo1",0.089065056201358,0.0907821391483069,0.121042852197742
"Marsh_Dry_Pre-Invasion.J_flo2",0.332808447680609,0.151772741989313,0.158096606238868
"Marsh_Dry_Pre-Invasion.L_goo1",0.154759629859529,0.0332942651623864,0.0341479642691143
"Marsh_Dry_Pre-Invasion.L_goo2",0.231269535495227,0.0466451430140603,0.0479408414311175
"Marsh_Dry_Pre-Invasion.L_mar1",0.210418386224071,0.0293929872456614,0.0299274051955825
"Marsh_Dry_Pre-Invasion.L_pun1",0.881477022761705,0.227267833908083,0.234369953717711
"Marsh_Dry_Pre-Invasion.L_pun2",2.4741540318895,0.609399144587298,0.630412908193757
"Marsh_Dry_Pre-Invasion.N_gyr1",0.848975805806176,0.565917920153221,0.660237573512091
"Marsh_Dry_Pre-Invasion.P_lat2",0.101429625476664,0.0633354957522144,0.0712524327212412
"Marsh_Wet_Post-Invasion.C_bat1",0.82129155505222,0.529893001834579,0.618208502140342
"Marsh_Wet_Post-Invasion.C_und1",0.0858993029307534,0.155804101043963,0.311608202087926
"Marsh_Wet_Post-Invasion.C_uro1",0.0191384525867861,0.00704421984874063,0.00758608291402837
"Marsh_Wet_Post-Invasion.C_uro2",0.0991088845962735,0.115944593830686,0.173916890746028
"Marsh_Wet_Post-Invasion.E_suc1",0.0380253644814158,0.0689703819211664,0.137940763842333
"Marsh_Wet_Post-Invasion.F_chr1",2.44155780693282,1.09635011687303,1.18771262661245
"Marsh_Wet_Post-Invasion.G_hol1",1.10269643058623,0.390344395654305,0.414740920382699
"Marsh_Wet_Post-Invasion.G_hol2",2.70957823430251,1.13065766037581,1.2013237641493
"Marsh_Wet_Post-Invasion.H_for1",0.576036819071561,0.352669748658516,0.411448040101602
"Marsh_Wet_Post-Invasion.H_for2",0.186328899569,0.164035953506423,0.218714604675231
"Marsh_Wet_Post-Invasion.H_let1",1.12910516305944,0.275166836891512,0.287674420386581
"Marsh_Wet_Post-Invasion.J_flo1",0,0,0
"Marsh_Wet_Post-Invasion.L_goo1",0.470127876844293,0.149049897912424,0.159696319191883
"Marsh_Wet_Post-Invasion.L_goo2",0.892642450099133,0.372398207862689,0.398998079852881
